id;time;image;response;session;delay
140;2020-01-30 18:37:13;no_vae_0.png;1;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:04
141;2020-01-30 18:37:17;no_vae_1.png;0;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:04
142;2020-01-30 18:37:20;style_4.jpg;1;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:03
143;2020-01-30 18:37:23;style_1.jpg;1;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:03
144;2020-01-30 18:37:26;no_vae_4.png;0;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:03
145;2020-01-30 18:37:31;vae_3.png;0;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:05
146;2020-01-30 18:37:34;vae_2.png;1;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:03
147;2020-01-30 18:37:39;vae_4.png;1;5187f72548b86c45ce8b0c7bc1b9aa33;00:00:05
148;2020-01-30 18:40:05;no_vae_3.png;0;77d991c6ca47f581730e8f187318539e;00:02:45
149;2020-01-30 18:40:09;style_1.jpg;1;77d991c6ca47f581730e8f187318539e;00:00:04
150;2020-01-30 18:40:13;style_3.jpg;0;77d991c6ca47f581730e8f187318539e;00:00:04
151;2020-01-30 18:40:16;vae_3.png;0;77d991c6ca47f581730e8f187318539e;00:00:03
152;2020-01-30 18:40:20;vae_4.png;1;77d991c6ca47f581730e8f187318539e;00:00:04
153;2020-01-30 18:40:22;no_vae_2.png;0;68fd06dff37af1d21abc08e1f27e51fd;00:00:05
154;2020-01-30 18:40:23;vae_0.png;0;77d991c6ca47f581730e8f187318539e;00:00:03
155;2020-01-30 18:40:26;style_4.jpg;1;77d991c6ca47f581730e8f187318539e;00:00:03
156;2020-01-30 18:40:27;no_vae_4.png;1;68fd06dff37af1d21abc08e1f27e51fd;00:00:05
157;2020-01-30 18:40:30;vae_2.png;1;77d991c6ca47f581730e8f187318539e;00:00:04
158;2020-01-30 18:40:32;style_0.jpg;0;68fd06dff37af1d21abc08e1f27e51fd;00:00:05
159;2020-01-30 18:40:35;style_0.jpg;0;77d991c6ca47f581730e8f187318539e;00:00:05
160;2020-01-30 18:40:36;style_4.jpg;1;68fd06dff37af1d21abc08e1f27e51fd;00:00:04
161;2020-01-30 18:40:38;no_vae_1.png;0;77d991c6ca47f581730e8f187318539e;00:00:03
162;2020-01-30 18:40:41;vae_1.png;0;68fd06dff37af1d21abc08e1f27e51fd;00:00:05
163;2020-01-30 18:40:42;no_vae_4.png;0;77d991c6ca47f581730e8f187318539e;00:00:04
164;2020-01-30 18:40:46;vae_2.png;0;68fd06dff37af1d21abc08e1f27e51fd;00:00:05
165;2020-01-30 18:40:47;style_2.jpg;1;77d991c6ca47f581730e8f187318539e;00:00:05
166;2020-01-30 18:40:50;vae_4.png;1;68fd06dff37af1d21abc08e1f27e51fd;00:00:04
167;2020-01-30 18:40:51;no_vae_2.png;0;77d991c6ca47f581730e8f187318539e;00:00:04
168;2020-01-30 18:40:54;vae_0.png;1;68fd06dff37af1d21abc08e1f27e51fd;00:00:04
169;2020-01-30 18:40:56;vae_1.png;0;77d991c6ca47f581730e8f187318539e;00:00:05
170;2020-01-30 18:40:58;no_vae_1.png;0;68fd06dff37af1d21abc08e1f27e51fd;00:00:04
171;2020-01-30 18:41:02;no_vae_0.png;0;68fd06dff37af1d21abc08e1f27e51fd;00:00:04
172;2020-01-30 18:41:06;vae_3.png;0;68fd06dff37af1d21abc08e1f27e51fd;00:00:04
173;2020-01-30 18:41:10;style_2.jpg;1;68fd06dff37af1d21abc08e1f27e51fd;00:00:04
174;2020-01-30 18:41:13;no_vae_3.png;0;68fd06dff37af1d21abc08e1f27e51fd;00:00:03
175;2020-01-30 18:41:19;style_1.jpg;1;68fd06dff37af1d21abc08e1f27e51fd;00:00:06
176;2020-01-30 18:41:23;style_3.jpg;0;68fd06dff37af1d21abc08e1f27e51fd;00:00:04
177;2020-01-30 18:42:58;no_vae_0.png;1;e575dd8b6b99759e6b1fbdc83544328d;00:00:06
178;2020-01-30 18:43:01;no_vae_1.png;0;e575dd8b6b99759e6b1fbdc83544328d;00:00:03
179;2020-01-30 18:43:03;no_vae_2.png;0;e575dd8b6b99759e6b1fbdc83544328d;00:00:02
180;2020-01-30 18:43:06;style_2.jpg;1;e575dd8b6b99759e6b1fbdc83544328d;00:00:03
181;2020-01-30 18:43:09;vae_1.png;0;e575dd8b6b99759e6b1fbdc83544328d;00:00:03
182;2020-01-30 18:43:10;vae_3.png;0;e575dd8b6b99759e6b1fbdc83544328d;00:00:01
183;2020-01-30 18:43:14;vae_4.png;0;e575dd8b6b99759e6b1fbdc83544328d;00:00:04
184;2020-01-30 18:43:17;vae_2.png;0;e575dd8b6b99759e6b1fbdc83544328d;00:00:03
185;2020-01-30 18:43:19;no_vae_3.png;1;e575dd8b6b99759e6b1fbdc83544328d;00:00:02
186;2020-01-30 18:43:21;style_1.jpg;1;e575dd8b6b99759e6b1fbdc83544328d;00:00:02
187;2020-01-30 18:43:24;no_vae_4.png;0;e575dd8b6b99759e6b1fbdc83544328d;00:00:03
188;2020-01-30 18:43:26;vae_0.png;0;e575dd8b6b99759e6b1fbdc83544328d;00:00:02
189;2020-01-30 18:43:29;style_0.jpg;1;e575dd8b6b99759e6b1fbdc83544328d;00:00:03
190;2020-01-30 18:43:31;style_3.jpg;1;e575dd8b6b99759e6b1fbdc83544328d;00:00:02
191;2020-01-30 18:43:33;style_4.jpg;0;e575dd8b6b99759e6b1fbdc83544328d;00:00:02
192;2020-01-30 18:47:28;no_vae_1.png;0;a896a04e68485f2af6c638545f031063;00:00:04
193;2020-01-30 18:47:30;no_vae_2.png;0;a896a04e68485f2af6c638545f031063;00:00:02
194;2020-01-30 18:47:32;style_2.jpg;1;a896a04e68485f2af6c638545f031063;00:00:02
195;2020-01-30 18:47:33;vae_1.png;0;a896a04e68485f2af6c638545f031063;00:00:01
196;2020-01-30 18:47:35;vae_2.png;1;a896a04e68485f2af6c638545f031063;00:00:02
197;2020-01-30 18:47:37;vae_3.png;0;a896a04e68485f2af6c638545f031063;00:00:02
198;2020-01-30 18:47:39;style_3.jpg;1;a896a04e68485f2af6c638545f031063;00:00:02
199;2020-01-30 18:47:41;style_1.jpg;1;a896a04e68485f2af6c638545f031063;00:00:02
200;2020-01-30 18:47:44;no_vae_4.png;0;a896a04e68485f2af6c638545f031063;00:00:03
201;2020-01-30 18:47:46;no_vae_0.png;1;a896a04e68485f2af6c638545f031063;00:00:02
202;2020-01-30 18:47:47;vae_4.png;1;a896a04e68485f2af6c638545f031063;00:00:01
203;2020-01-30 18:47:48;no_vae_3.png;1;a896a04e68485f2af6c638545f031063;00:00:01
